Challenge Area,Details
PowerShell Script Migration,"['Windows PowerShell vs PowerShell Core differences', 'Windows-only modules (e.g., registry, WMI, COM)', '.NET Framework dependencies', 'Script refactoring for cross-platform compatibility']"
Pipeline Agent Pool Toggle,"['Use pipeline flags or runtime parameters to toggle between VM and container agents', 'Support gradual migration and testing']"
Container Build & Management,"['Custom base image creation with required tools', 'Image versioning and lifecycle management', 'Patch/upgrade strategies', 'Toolchain updates and rebuild triggers']"
Storage & Volume Management,"['Use emptyDir for ephemeral workspaces', 'Use Azure Files or PVCs for caching/artifacts', 'Volume mount permission handling', 'Use Premium Disks for high I/O jobs like pg_dump']"
Subset Pipeline Migration,"['Identify compatible pipelines', 'Tag or group by compatibility', 'Gradual rollout via separate stages or jobs']"
Managed Identity in Pods,"['Use Azure Workload Identity or AAD Pod Identity', 'Role assignment to identity (e.g., Key Vault, Blob)', 'Secure token retrieval and injection', 'RBAC and AKS permission handling']"
Secrets & Key Management,"['Retrieve from Azure Key Vault using managed identity', 'Inject into containers securely', 'Avoid logging or persisting secrets']"
Network & DNS,"['Private endpoint access', 'VNet integration for AKS', 'Outbound internet access configuration', 'DNS resolution for regional services']"
Logging & Monitoring,"['Short-lived pod log access', 'Use Fluent Bit/Log Analytics/Container Insights', 'Log rotation and retention policies', 'Debugging ephemeral agents']"
Scaling & Quotas,"['Resource requests and limits per pod', 'Use KEDA for event-based scaling', 'Node pool autoscaler tuning', 'Avoid OOM and eviction issues']"
Startup Latency & Image Pull,"['Slow startup if image not cached', 'Use imagePullPolicy: IfNotPresent', 'Node pre-warming or DaemonSets for preloading']"
Security & Compliance,"['Image scanning (e.g., Trivy, ACR Tasks)', 'SBOM generation', 'Audit external downloads', 'Policy enforcement for DevSecOps']"
Tool Compatibility & Licensing,"['Tools requiring licenses or GUI-based usage', 'Prefer CLI-based and headless tools for containers']"
CI/CD Pattern Change,"['Job isolation differences vs VM agents', 'Handle shared folder dependencies explicitly', 'Ensure agent contract compatibility with Azure Pipelines']"
